"RefBlock","Timestamp","BlockCount","TxCount","GasUsed","NormWeekFeesBTC","NormWeekTXs"
4930080,1672372496,19614,15239,1716427673,0.105852498891649,15663.2119914347
4909920,1671739013,18229,20058,1822508072,0.120933993301399,22182.7461736793
4889760,1671096372,18042,20476,1889416993,0.126673251010575,22879.7339541071
4869600,1670452078,16755,13560,1525750860,0.110149104163295,16315.702775291
4849440,1669827116,18229,16747,2075502783,0.137721661435998,18521.011574963
4829280,1669198350,18191,13849,1601312382,0.106478338588709,15348.0204496729
4809120,1668572069,17322,19930,3059675741,0.213657994245099,23195.2892275719
4788960,1667945493,17310,20322,3657187333,0.255559433737539,23667.9098786828
4768800,1667303760,19035,16366,2291239339,0.145599322535035,17333.2576832151
4748640,1666658576,19175,14781,2139299019,0.134951556369356,15540.2847457627
4728480,1666013799,18942,14159,1987284667,0.126904209333925,15069.4456762749
4708320,1665367760,17969,15490,2790704971,0.187858908838644,17378.7300350604
4688160,1664729138,18159,21117,3174509190,0.211459128598711,23443.9517594581
4668000,1664096541,18907,20948,3366771187,0.21539358056779,22336.2606442058
4647840,1663466570,18445,19258,3022016815,0.19818007803871,21048.5920303605
4627680,1662837363,18538,18317,3287547392,0.214511669293516,19919.6633941094
4607520,1662197185,19121,17917,3021287348,0.191127513003546,18890.5768526751
4587360,1661538431,18550,20793,3301578870,0.215287859900377,22597.6754716981
4567200,1660880609,18276,21465,3334914277,0.220721837899934,23677.7413000657
4547040,1660227904,18817,23116,3263143620,0.209762370343413,24765.8266461179
4526880,1659577357,18575,25100,4031612825,0.26253775898358,27241.7765814266
4506720,1658926115,18353,25186,3813822574,0.251359439084095,27665.763635373
4486560,1658274204,18272,28376,4603052082,0.304720435550963,31308.0210157618
4466400,1657617683,19752,22011,3604605407,0.220743757609721,22465.6622114216
4446240,1656960404,19931,22808,4393526446,0.266640388795424,23070.0556921379
4426080,1656281329,19813,27400,4748093432,0.289875022225165,27879.8768485338
4405920,1655608250,19665,47489,10122736451,0.622652530441373,48684.3752860412
4385760,1654932307,19854,26867,5547664098,0.337990052026836,27281.0879419764
4365600,1654256393,19847,26410,5166976760,0.314907799107976,26826.502746007
4345440,1653580351,19843,26323,5125675780,0.312453632187069,26743.5206370005
4325280,1652907242,19446,34861,6773411195,0.421326657485961,36140.9935205184
4305120,1652231504,17570,36387,8196293481,0.564270722516653,41750.8207171315
4284960,1651562660,14552,17314,3336663090,0.277352094122045,23986.410115448
4264800,1650893822,15879,21840,4728950888,0.360232948808162,27728.0937086718
4244640,1650200171,18966,23840,4478121041,0.285602404892629,25340.8415058526
4224480,1649516822,19692,23483,4237058215,0.260265367502742,24041.0968921389
4204320,1648835857,19780,35419,5863892754,0.358592754056542,36099.4459049545
4184160,1648149854,19407,36226,5968519176,0.372006018204236,37631.5844798269
4164000,1647467471,19984,28848,6446264919,0.3901822480996,29102.065652522
4143840,1646781440,19586,27087,5509231213,0.340241298644174,27880.8291636883
4123680,1646091992,19674,34352,7037916176,0.432706282733028,35200.5855443733
4103520,1645406667,19955,29221,5998650037,0.363616491343282,29521.1906790278
4083360,1644733768,19428,38511,7818220623,0.486767534773564,39962.0012353304
4063200,1644052740,19643,32560,6922784708,0.42629946458264,33416.9729674693
4043040,1643376176,19309,39938,9684631503,0.606687568803605,41698.1759801129
4022880,1642700597,19481,30160,8181772652,0.50801664184894,31211.2109234639
4002720,1642026749,19982,34136,7673844455,0.46453219161085,34440.0840756681
3982560,1641364070,19703,33270,8553845693,0.525134839884931,34041.6789321423
3962400,1640707547,19917,30623,6729762842,0.408712212365477,30996.6199728875
3942240,1640019751,19749,36592,7875803429,0.482382491656205,37353.5227100106
3922080,1639330415,19982,43244,9280581557,0.561795188236773,43629.2182964668
3901920,1638654641,20027,52878,11525421563,0.69611773718504,53229.1646277525
3881760,1637961436,19632,45025,9416829211,0.580205613978484,46235.9413202934
3861600,1637272581,19955,55015,11581554724,0.702032001711371,55580.1753946379
3841440,1636601775,19916,59829,13780131408,0.83693748499281,60561.9923679454
3821280,1635921327,19583,39210,8940297869,0.55222306604414,40365.2964305775
3801120,1635252062,19775,44992,11650971563,0.712668278260673,45867.9504424779
3780960,1634572366,19947,47957,10848832883,0.65788079687556,48469.0991126485
3760800,1633935364,19724,52012,10659290856,0.653694900599148,53161.7278442507
3740640,1633299780,19893,51892,9790220240,0.595297360996531,52588.4843914945
3720480,1632657932,19845,51596,10468087164,0.638054836662857,52414.9841269841
3700320,1632011452,19754,46138,7165813238,0.438785445615308,47086.265060241
3680160,1631374677,19956,38609,5842335649,0.354123531821527,39003.6800962117
3660000,1630741012,20093,41238,9664343412,0.581794146775255,41375.5078883193
3639840,1630102505,19974,76691,12338396485,0.747197576261941,77405.1547011114
3619680,1629463244,19857,42590,5151907611,0.313831265864209,43239.8851790301
3599520,1628835094,20030,39668,5548611545,0.33507741012641,39925.4558162756
3579360,1628201322,19066,39566,5397471780,0.342430602385818,41836.2823874961
3559200,1627563917,19936,40396,5663062447,0.34360154172809,40849.8876404494
3539040,1626925018,19796,43084,5574034716,0.340591654499576,43876.2093352192
3518880,1626285199,20052,42930,5496124460,0.331543593996409,43161.2208258528
3498720,1625649622,20011,41286,5548245668,0.335373442607206,41593.411623607
